,0
0,
1,
2,
3,"Don’t read success stories, you will only get a message. Read failure stories, you will get some ideas to get success."
4,"Climbing to the top demands strength, whether it is to the top of Mount Everest or to the top of your career."
5,"You cannot change your future, but you can change your habits, and surely your habits will change your future."
6,"In this world, fear has no place. Only strength respects strength."
7,
8,You have to dream before your dreams can come true.
9,"IF you Salute your work,You do not have to salute anybody. 
 IF you pollute your work,You have to salute everybody."
10,"Difficulties in your life do not come to destroy you, but to help you realise your hidden potential and power, let difficulties know that you too are difficult."
11,"If you want to shine like the sun, first burn like the sun."
12,"Problems are common, but attitude makes the difference!!!"
13,"When learning is purposeful, creativity blossoms. When creativity blossoms, thinking emanates. When thinking emanates, knowledge is fully lit. When knowledge is lit, economy flourishes."
14,Dream is not that which you see while sleeping it is something that does not let you sleep.
15,What is the secret of success? Right decisions. How do you make right decisions? Experience. How do you gain experience? Wrong decisions.
16,"When mother is happy, family is happy. When family is happy, nation is happy."
17,"For great men, religion is a way of making friends; small people make religion a fighting tool."
18,"If we are not free, no one will respect us."
19,War is never a lasting solution for any problem.
20,"SUCCESS DEFINITION-- WHEN OUR SIGNATURE CHANGES TO AUTOGRAPH ,this marks the success."
21,We should not give up and we should not allow the problem to defeat us.
22,"Don't take rest after your first victory because if you fail in second, more lips are waiting to say that your first victory was just luck."
23,"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life."
24,There are forces in life working for you and against you. One must distinguish the beneficial forces from the malevolent ones and choose correctly between them.
25,
26,
27,
28,Great men are ordinary men with extra ordinary determination.
29,"I see in the near future a crisis approaching that unnerves me and causes me to tremble for the safety of my country... corporations have been enthroned and an era of corruption in high places will follow, and the money power of the country will endeavor to prolong its reign by working upon the prejudices of the people until all wealth is aggregated in a few hands and the Republic is destroyed."
30,The most reliable way to predict the future is to create it.
31,If you have never failed you have never lived.
32,
33,How many legs does a dog have if you call the tail a leg? Four. Calling a tail a leg doesn't make it a leg.
34,"When you make it to the top, turn and reach down for the person behind you."
35,
36,
37,
38,You cannot help the poor by destroying the rich. You cannot lift the wage earner by pulling down the wage payer.
39,"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right."
40,The philosophy of the school room in one generation will be the philosophy of government in the next.
41,"In the end, it's not the years in your life that count. It's the life in your years."
42,Violence begins where knowledge ends.
43,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.
44,It is a sin to be silent when it is your duty to protest.
45,You cannot build character and courage by taking away people's initiative and independence. You cannot help people permanently by doing for them what they could and should do for themselves.
46,Any society that takes away from those most capable and gives to the least will perish.
47,Character is like a tree and reputation like a shadow. The shadow is what we think of it; the tree is the real thing.
48,A friend is one who has the same enemies as you have.
49,The best thing about the future is that it comes one day at a time.
50,
51,"A Man who is Shy and Modest, is An Amazing Character, but a Women who is Shy and Modest is Beyond Amazing."
